year,country,beef,pig,poultry,sheep,measures,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ISO3,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Expected Years of Schooling
2015,Australia,20.6335798087031,22.0227668810292,42.2694495127556,9.39797310500404,KG_CAP,North America and ANZ,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,AUS,Oceania,Southern Hemisphere,Very High,,5.0,23.08892059
2015,Canada,17.6707152205321,18.0324897205705,32.6267255181398,0.915993172573386,KG_CAP,North America and ANZ,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,CAN,America,Northern Hemisphere,Very High,,15.0,15.89140034
2015,Japan,6.48735333048517,14.9610537599976,15.8016358794195,0.127247451501212,KG_CAP,East Asia,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,JPN,Asia,Northern Hemisphere,Very High,,19.0,15.16511414
2015,Mexico,8.62766060091595,12.1231855196893,27.1224961813577,0.536240490445425,KG_CAP,Latin America and Caribbean,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312,MEX,America,Northern Hemisphere,High,LAC,86.0,14.19680977
2015,New Zealand,13.8713569494456,17.7865258358977,33.5926507488083,5.8673122411972,KG_CAP,North America and ANZ,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922,NZL,Oceania,Southern Hemisphere,Very High,,13.0,18.86964989
2015,United States,24.6724113258516,22.7733360847122,47.9249891723618,0.454957040561563,KG_CAP,North America and ANZ,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589,USA,America,Northern Hemisphere,Very High,,21.0,16.1919899
2015,Argentina,40.6550137323902,8.56280079697252,38.9433239596741,1.13777844305511,KG_CAP,Latin America and Caribbean,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,ARG,America,Southern Hemisphere,Very High,LAC,47.0,17.40954971
2015,Brazil,24.787159594424,12.0988670845222,40.6733690226165,0.55175516542406,KG_CAP,Latin America and Caribbean,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,BRA,America,Southern Hemisphere,High,LAC,87.0,15.36513042
2015,Chile,17.4455794185008,17.6216554483576,33.9237371512629,0.460349850563412,KG_CAP,Latin America and Caribbean,6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869,CHL,America,Southern Hemisphere,Very High,LAC,42.0,16.36503983
2015,China,3.36126460849498,32.1031751512805,10.872839800804,2.91634916695221,KG_CAP,East Asia,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,CHN,Asia,Northern Hemisphere,High,EAP,79.0,13.47687006
2015,Colombia,12.2947465515862,5.98303742949648,27.0721291224283,0.153235076005771,KG_CAP,Latin America and Caribbean,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512,COL,America,Northern Hemisphere,High,LAC,88.0,14.29211044
2015,Ethiopia,2.73750155695732,0.0158627199086861,0.108352052642591,0.339698603424051,KG_CAP,Sub-Saharan Africa,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,ETH,Africa,Northern Hemisphere,Low,SSA,175.0,8.918518663
2015,India,0.448828626338598,0.205069025492956,2.20742902809013,0.476586154450562,KG_CAP,South Asia,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,IND,Asia,Northern Hemisphere,Medium,SA,132.0,11.94699955
2015,Indonesia,1.67120135074407,1.0144089709674,7.05211557854122,0.382474755301524,KG_CAP,Southeast Asia,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0.0,IDN,Asia,Southern Hemisphere,High,EAP,114.0,13.33804035
2015,Israel,19.4307230586203,1.53040439290576,64.9362001982055,1.71264285331328,KG_CAP,Middle East and North Africa,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785,ISR,Asia,Northern Hemisphere,Very High,,22.0,16.17112923
2015,Kazakhstan,19.5443122872152,5.56065738246358,14.4822160381698,8.18114314610103,KG_CAP,Commonwealth of Independent States,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,KAZ,Asia,Northern Hemisphere,Very High,ECA,56.0,15.11816025
2015,Malaysia,5.83711164186469,6.15413469527354,47.2589150688276,1.10172309426961,KG_CAP,Southeast Asia,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,MYS,Asia,Northern Hemisphere,Very High,EAP,62.0,13.66390991
2015,Nigeria,1.49118532874599,1.15215749248294,0.994146081591329,1.91229416231905,KG_CAP,Sub-Saharan Africa,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,NGA,Africa,Northern Hemisphere,Low,SSA,163.0,9.399784948
2015,Pakistan,6.211202703729,7.825514709e-07,5.11370682702066,2.1781966798533,KG_CAP,South Asia,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,PAK,Asia,Northern Hemisphere,Low,SA,161.0,7.584290028
2015,Paraguay,9.80795350375776,21.6677386893469,5.82760607067074,0.489511936746354,KG_CAP,Latin America and Caribbean,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,PRY,America,Southern Hemisphere,High,LAC,105.0,12.99628522
2015,Peru,4.50519648075276,3.81360783546705,38.1816634432329,1.09571612560673,KG_CAP,Latin America and Caribbean,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,PER,America,Southern Hemisphere,High,LAC,84.0,14.65704384
2015,Philippines,3.06412428145393,14.3561563579375,12.214833256757,0.497254979283692,KG_CAP,Southeast Asia,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,PHL,Asia,Northern Hemisphere,Medium,EAP,116.0,12.82507992
2015,Saudi Arabia,4.52486009282949,0.197565974881846,42.9322178339913,5.60472799939197,KG_CAP,Middle East and North Africa,6.411,1.39541,1.08393,0.72025,0.31048,0.13706,0.32524,SAU,Asia,Northern Hemisphere,Very High,AS,35.0,15.77921132
2015,South Africa,12.4638904275967,3.5227607588254,33.9587826312295,2.99861991610615,KG_CAP,Sub-Saharan Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,ZAF,Africa,Southern Hemisphere,High,SSA,109.0,14.00878525
2015,Thailand,1.1731384473165,10.3723642078678,10.4451815541183,0.0432722390298195,KG_CAP,Southeast Asia,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187,THA,Asia,Northern Hemisphere,Very High,EAP,66.0,15.56759501
2015,Ukraine,5.49053496794016,12.8632921960989,21.141836972065,0.269868060560835,KG_CAP,Central and Eastern Europe,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,UKR,Europe,Northern Hemisphere,High,ECA,77.0,14.88242753
2015,Norway,24.869493656543945,0.30470242020804555,2.2984898166263843,9.466976084776189,THND_TONNE,Western Europe,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,NOR,Europe,Northern Hemisphere,Very High,,2.0,17.78388977
2015,Ethiopia,0.09718948603828619,41.66955634558019,3.086889968098769,32.97125933931477,THND_TONNE,Sub-Saharan Africa,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,ETH,Africa,Northern Hemisphere,Low,SSA,175.0,8.918518663
2015,Thailand,12.715680373328112,16.924813648354988,0.047020056090356414,18.84125909628842,THND_TONNE,Southeast Asia,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187,THA,Asia,Northern Hemisphere,Very High,EAP,66.0,15.56759501
2015,Ethiopia,0.01605269180292753,24.90320075694241,28.03310759299882,4.924836862948398,THND_TONNE,Sub-Saharan Africa,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,ETH,Africa,Northern Hemisphere,Low,SSA,175.0,8.918518663
2015,Thailand,11.34984076534957,35.31705775865544,1.6086484824273064,10.61993610515108,THND_TONNE,Southeast Asia,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187,THA,Asia,Northern Hemisphere,Very High,EAP,66.0,15.56759501
2015,Israel,1.6217676011585476,1.4378226765869455,6.358641653527303,33.66920969152477,THND_TONNE,Middle East and North Africa,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785,ISR,Asia,Northern Hemisphere,Very High,,22.0,16.17112923
2015,Nigeria,1.7245625923322756,36.218452314193605,16.249827232367302,0.9145614942287118,THND_TONNE,Sub-Saharan Africa,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,NGA,Africa,Northern Hemisphere,Low,SSA,163.0,9.399784948
2015,Nigeria,1.759208871694063,1.1958112230789575,60.99317186963512,33.7256962177634,THND_TONNE,Sub-Saharan Africa,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,NGA,Africa,Northern Hemisphere,Low,SSA,163.0,9.399784948
2015,New Zealand,17.507342526917235,13.181509690542738,8.292092455678109,5.890550041467059,THND_TONNE,North America and ANZ,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922,NZL,Oceania,Southern Hemisphere,Very High,,13.0,18.86964989
2015,Kazakhstan,14.678617915253016,23.59880631565349,39.62943970315712,18.9791765025644,THND_TONNE,Commonwealth of Independent States,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,KAZ,Asia,Northern Hemisphere,Very High,ECA,56.0,15.11816025
2015,Japan,19.7135640666759,0.5966900041130485,11.043680809754743,14.761657684064804,THND_TONNE,East Asia,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,JPN,Asia,Northern Hemisphere,Very High,,19.0,15.16511414
2015,United States,0.4938636749279157,11.963224419478353,27.890186502478873,2.2207867259674288,THND_TONNE,North America and ANZ,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589,USA,America,Northern Hemisphere,Very High,,21.0,16.1919899
2015,Argentina,41.183524936168645,5.878431411539972,54.04919653180745,52.0233981747566,THND_TONNE,Latin America and Caribbean,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,ARG,America,Southern Hemisphere,Very High,LAC,47.0,17.40954971
2015,Colombia,7.102619694709691,1.2032287467273362,22.94393697538051,2.2267538776492506e-06,THND_TONNE,Latin America and Caribbean,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512,COL,America,Northern Hemisphere,High,LAC,88.0,14.29211044
2015,Brazil,43.98580067799437,4.465675766763672,1.1372636028827818,7.467301978198217,THND_TONNE,Latin America and Caribbean,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,BRA,America,Southern Hemisphere,High,LAC,87.0,15.36513042
2015,Brazil,33.69874676492659,4.747229229088109,6.330802028153821,10.216318135628931,THND_TONNE,Latin America and Caribbean,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,BRA,America,Southern Hemisphere,High,LAC,87.0,15.36513042
