ISO3,country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),year,Expected Years of Schooling,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180.0,2015,10.18014979,South Asia,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67.0,2015,15.07629967,Central and Eastern Europe,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26.0,2015,13.30245607,Middle East and North Africa,6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47.0,2015,17.40954971,Latin America and Caribbean,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85.0,2015,12.96794987,Central and Eastern Europe,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5.0,2015,23.08892059,North America and ANZ,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637
AUT,Austria,Europe,Northern Hemisphere,Very High,,25.0,2015,15.95141029,Western Europe,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676
BEL,Belgium,Europe,Northern Hemisphere,Very High,,13.0,2015,19.76292038,Western Europe,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166.0,2015,12.80451012,Sub-Saharan Africa,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184.0,2015,8.258930206,Sub-Saharan Africa,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129.0,2015,11.00469518,South Asia,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569
