happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,Continent_x,Marriage,Divorce,Actual,Percent,rank,IQ,education_expenditure,avg_income,avg_temp,ISO3,Continent_y,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Year,Expected Years of Schooling,location,indicator,subject,measure,frequency,time,value,Unnamed: 0,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,LITRES/CAPITA,avg_temp_c,latitude,longitude,altitude
7.804,1.888,1.585,0.535,0.772,0.126,0.535,Europe,4.3,2.4,1.79,55.81,8.0,101.0,2725.0,42706.0,8.2,FIN,Europe,Northern Hemisphere,Very High,,11.0,2021.0,19.05192947,,,,,,,,5.0,FIN,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.2,5.269351658903474,62.384602295,25.181444097479307,0.0
7.586,1.949,1.548,0.537,0.734,0.208,0.525,Europe,5.6,2.6,2.15,46.43,26.0,98.0,4133.0,53149.0,12.5,DNK,Europe,Northern Hemisphere,Very High,,6.0,2021.0,18.71479988,,,,,,,,4.0,DNK,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.5,9.97595665150132,56.06359193333333,10.339134833333334,0.0
7.53,1.926,1.62,0.559,0.738,0.25,0.187,Europe,4.9,1.8,2.72,36.73,19.0,99.0,3812.0,47106.0,8.1,ISL,Europe,Northern Hemisphere,Very High,,3.0,2021.0,19.16305923,,,,,,,,10.0,ISL,ALCOHOL,TOT,LT_CAP15,A,2019.0,7.4,5.68351233432884,64.04139515,-21.472884299999997,0.0
7.473,1.833,1.521,0.577,0.569,0.124,0.158,Asia,6.5,1.8,3.61,27.69,38.0,93.0,1811.0,29009.0,25.4,ISR,Asia,Northern Hemisphere,Very High,,22.0,2021.0,16.05088997,ISR,MEATCONSUMP,BEEF,KG_CAP,A,2023.0,20.3650531336039,35.0,ISR,ALCOHOL,TOT,LT_CAP15,A,2019.0,3.1,19.715490164287115,32.23935275,34.98264915000454,0.0
7.473,1.833,1.521,0.577,0.569,0.124,0.158,Asia,6.5,1.8,3.61,27.69,38.0,93.0,1811.0,29009.0,25.4,ISR,Asia,Northern Hemisphere,Very High,,22.0,2021.0,16.05088997,ISR,MEATCONSUMP,PIG,KG_CAP,A,2023.0,1.28613333683136,35.0,ISR,ALCOHOL,TOT,LT_CAP15,A,2019.0,3.1,19.715490164287115,32.23935275,34.98264915000454,0.0
7.473,1.833,1.521,0.577,0.569,0.124,0.158,Asia,6.5,1.8,3.61,27.69,38.0,93.0,1811.0,29009.0,25.4,ISR,Asia,Northern Hemisphere,Very High,,22.0,2021.0,16.05088997,ISR,MEATCONSUMP,POULTRY,KG_CAP,A,2023.0,66.9587857371893,35.0,ISR,ALCOHOL,TOT,LT_CAP15,A,2019.0,3.1,19.715490164287115,32.23935275,34.98264915000454,0.0
7.473,1.833,1.521,0.577,0.569,0.124,0.158,Asia,6.5,1.8,3.61,27.69,38.0,93.0,1811.0,29009.0,25.4,ISR,Asia,Northern Hemisphere,Very High,,22.0,2021.0,16.05088997,ISR,MEATCONSUMP,SHEEP,KG_CAP,A,2023.0,1.69865219023672,35.0,ISR,ALCOHOL,TOT,LT_CAP15,A,2019.0,3.1,19.715490164287115,32.23935275,34.98264915000454,0.0
7.473,1.833,1.521,0.577,0.569,0.124,0.158,Asia,6.5,1.8,3.61,27.69,38.0,93.0,1811.0,29009.0,25.4,ISR,Asia,Northern Hemisphere,Very High,,22.0,2021.0,16.05088997,ISR,MEATCONSUMP,SHEEP,THND_TONNE,A,2023.0,17.5576605245337,35.0,ISR,ALCOHOL,TOT,LT_CAP15,A,2019.0,3.1,19.715490164287115,32.23935275,34.98264915000454,0.0
7.473,1.833,1.521,0.577,0.569,0.124,0.158,Asia,6.5,1.8,3.61,27.69,38.0,93.0,1811.0,29009.0,25.4,ISR,Asia,Northern Hemisphere,Very High,,22.0,2021.0,16.05088997,ISR,MEATCONSUMP,PIG,THND_TONNE,A,2023.0,14.9981001449585,35.0,ISR,ALCOHOL,TOT,LT_CAP15,A,2019.0,3.1,19.715490164287115,32.23935275,34.98264915000454,0.0
7.473,1.833,1.521,0.577,0.569,0.124,0.158,Asia,6.5,1.8,3.61,27.69,38.0,93.0,1811.0,29009.0,25.4,ISR,Asia,Northern Hemisphere,Very High,,22.0,2021.0,16.05088997,ISR,MEATCONSUMP,POULTRY,THND_TONNE,A,2023.0,692.101441287239,35.0,ISR,ALCOHOL,TOT,LT_CAP15,A,2019.0,3.1,19.715490164287115,32.23935275,34.98264915000454,0.0
