happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,Marriage,Divorce,Actual,Percent,rank,IQ,education_expenditure,avg_income,avg_temp,HDI Rank (2021),Year,Expected Years of Schooling,year,beef,pig,poultry,sheep,Unnamed: 0,TIME,LITRES/CAPITA,avg_temp_c,latitude,longitude,altitude
4.7502055,1.0765281,0.8605132,0.34518987,0.38480374,0.20750402,0.23713763,7.179871,1.97805,7.028369,47.563618,52.12995,80.16755,1703.836,31338.996,21.801458,102.914986,2021.4266,13.55801,2023.449,16.39529,11.173218,32.813763,3.915567,24.052593,2019.4307,6.2219887,16.606882,15.721538,22.495281,0.44167075
5.4423833,1.3842403,1.1010406,0.42248666,0.4742195,0.17757495,0.2288727,6.343397,1.9341363,5.8069577,45.956654,45.380005,85.634834,1638.6991,31201.63,20.26161,68.227715,2021.1322,14.895871,2023.151,16.895094,11.5005,30.751276,3.2647855,22.726158,2019.1194,7.3579817,15.453206,24.247858,17.975578,0.10088828
5.061263,1.2201984,0.92746377,0.37966603,0.42159975,0.19851023,0.2590686,6.889161,2.0009997,6.7165103,50.133644,48.89635,82.64381,1876.2257,35228.61,20.696539,83.0591,2021.3186,14.269888,2023.3256,18.227974,11.467175,31.592213,3.8147993,22.631,2019.3055,6.689189,15.898566,19.866385,16.393282,0.29795077
5.7964087,1.3488379,1.0418164,0.43029568,0.471212,0.21420285,0.3171768,6.6184807,2.1442015,4.9663982,57.464787,35.75379,89.694305,2301.0833,42128.055,18.823544,62.50439,2021.1992,14.391242,2023.2336,17.353022,12.708216,27.617731,3.3643005,16.821543,2019.173,7.3674245,14.646407,31.385916,1.1093,0.24234356
4.6884203,1.0644779,0.8085953,0.33328265,0.37388423,0.2072464,0.23779708,7.1613393,2.01612,7.251517,49.474155,55.41868,79.31973,1645.7039,32307.602,21.937637,103.13984,2021.4094,13.617236,2023.4125,18.053127,11.328373,31.6322,3.886971,23.873127,2019.3983,6.228731,16.852459,14.9403305,18.039251,0.41184905
5.3688307,1.2326328,0.92165196,0.39561012,0.43079847,0.21295297,0.2943316,6.9197583,2.1160064,5.786507,55.090084,43.01705,85.83515,2117.5034,39102.957,20.149471,78.92587,2021.2982,13.974049,2023.3309,17.797651,12.230402,29.452204,3.6774428,19.398705,2019.2784,6.8783736,15.485258,24.712252,6.674553,0.3391111
4.392578,1.0056552,0.76896214,0.30134165,0.3718394,0.20495437,0.21326326,6.6827416,2.0484602,6.782196,48.273685,61.021595,78.029594,1139.5526,26135.95,23.363155,118.34065,2021.2366,13.116527,2023.2643,16.56915,11.386598,29.028736,3.2110832,24.265072,2019.243,6.330586,18.972305,13.85496,19.779928,0.27453035
4.602741,1.0310552,0.80722237,0.32393453,0.37164545,0.20967641,0.21586378,6.760259,2.0963798,6.895856,49.070114,58.132526,78.216805,1320.756,29522.96,22.5338,112.245705,2021.3234,13.410156,2023.3433,17.009928,11.388032,29.990368,3.5223985,23.812267,2019.319,6.2726192,17.436836,14.299943,19.92977,0.3541068
5.8038263,1.3866211,1.0980965,0.4370463,0.4821162,0.20984857,0.31158683,6.479675,2.0778487,5.262339,55.78779,36.09806,89.65567,2295.27,42321.434,18.331398,57.028706,2021.1906,14.792946,2023.2058,17.705841,12.399371,28.159655,3.4379961,17.931795,2019.1722,7.3217454,14.329198,31.380356,5.811034,0.20665704
5.2319784,1.2258506,0.87400496,0.3719041,0.4535398,0.20952639,0.27170527,6.553764,2.0836926,5.389454,50.12724,41.23612,84.86866,1815.0771,32754.08,21.06735,90.49112,2021.3666,13.4813595,2023.3802,12.581523,10.815197,33.49402,3.4416833,22.630816,2019.3475,7.042748,17.071896,20.944992,23.635279,0.38730282
5.6151586,1.3141222,1.0259022,0.41763574,0.45958975,0.21176147,0.30415687,6.683213,2.08431,5.493523,55.51012,38.89434,88.11358,2219.717,40803.773,19.136398,66.171394,2021.2355,14.456334,2023.2578,17.741714,12.275348,28.642641,3.5461726,18.53612,2019.2144,7.1573553,14.846527,28.243605,5.8966446,0.26399395
4.633926,1.0392997,0.80754447,0.32735285,0.37253797,0.20902215,0.22198398,6.881409,2.069376,7.0033684,49.2272,57.32582,78.5254,1417.9841,30352.506,22.354723,109.52705,2021.3497,13.473772,2023.3657,17.335417,11.382707,30.497112,3.6321077,23.814322,2019.3442,6.2612658,17.229067,14.472936,19.407576,0.372941
5.6518593,1.3538427,1.0638922,0.4246526,0.46995574,0.20741954,0.3024523,6.5685244,2.0579283,5.6001177,54.502007,38.65579,88.08591,2226.089,41349.094,18.7735,61.621803,2021.2217,14.695608,2023.2313,17.918991,12.146179,29.032692,3.5609462,19.102932,2019.2056,7.1377335,14.611859,29.156519,8.673292,0.2278182
5.2035046,1.2801466,0.9919985,0.39600992,0.44168752,0.19113176,0.25117505,6.6955748,1.9836599,6.401235,48.679142,47.456802,83.80976,1818.386,34206.87,20.442436,77.03055,2021.2423,14.519108,2023.2549,17.823975,11.45883,31.256977,3.623764,22.448662,2019.226,6.93188,15.712389,21.618212,16.603703,0.21269596
5.408667,1.2405938,0.88219565,0.3635389,0.4814117,0.20289741,0.26582235,6.131902,2.0936255,4.574868,47.544262,35.762203,87.13746,1660.1377,29586.777,21.654524,89.93098,2021.3335,13.164504,2023.344,9.210175,10.088338,35.178707,3.088106,22.477076,2019.2904,7.4137893,17.964169,23.427708,27.210796,0.3584667
4.9344697,1.0672923,0.9105976,0.34830624,0.4191209,0.20020926,0.23322438,6.9734445,1.9090989,6.145541,43.31546,44.820568,83.65685,1635.7267,28208.465,22.55128,100.39275,2021.3766,13.487816,2023.4276,12.439684,10.3672085,35.24199,3.6811922,23.90674,2019.3857,6.279714,17.170088,19.11435,24.912283,0.40396887
4.8470397,1.1351545,0.8381899,0.35954377,0.3927224,0.2072172,0.2608728,7.1937523,2.0176384,7.0697618,51.219414,51.55022,81.000626,1874.202,35102.758,21.286476,93.837776,2021.4193,13.878083,2023.425,18.5131,11.431023,31.81831,4.036706,23.383846,2019.4159,6.355437,16.221151,16.66554,16.427319,0.42016548
5.63977,1.292581,0.9655236,0.41529438,0.4526912,0.2158855,0.31133243,6.7932167,2.1767333,5.120908,57.3819,38.573555,88.24799,2218.7646,41120.58,19.549833,71.64552,2021.2386,14.002114,2023.2817,17.354008,12.704764,28.139805,3.4505346,17.228844,2019.2097,7.181899,15.086312,29.092041,1.613603,0.29653516
4.680518,1.0795745,0.8284402,0.33575794,0.4003081,0.19673003,0.22256175,7.1033416,1.9277593,6.908545,47.492188,57.180603,79.69487,1466.6039,28349.336,22.843607,104.47102,2021.2748,13.56568,2023.2915,17.56089,11.00833,30.661934,3.5665863,24.297245,2019.2731,6.447126,17.885864,14.351184,19.12275,0.28155115
5.53252,1.288712,0.9406454,0.41237342,0.4560083,0.21880755,0.30941814,6.820078,2.170481,5.170204,56.71438,39.88055,87.77486,2160.3374,40962.316,19.459415,77.44932,2021.2587,13.863858,2023.3085,16.962784,12.523825,28.29759,3.409134,17.958794,2019.2365,7.14244,15.200975,28.104294,5.488585,0.32705066
5.7803764,1.3712134,1.083994,0.43402192,0.47815186,0.21161245,0.31171834,6.5240836,2.0869596,5.2398243,56.097656,36.350937,89.59621,2288.685,42119.008,18.500172,58.704094,2021.1964,14.71304,2023.2168,17.639004,12.426738,28.092285,3.4401414,17.788763,2019.1766,7.3228755,14.448532,30.936203,4.792276,0.22067314
5.0258474,1.1393002,0.8589012,0.35773277,0.43096462,0.20516321,0.25625205,6.7978644,2.0340092,5.9658785,47.498127,44.478596,83.4966,1761.2671,31274.38,21.862305,95.271286,2021.3961,13.543212,2023.4102,13.631286,10.430469,33.639084,3.653503,23.248598,2019.3757,6.7245145,17.094501,18.77715,23.62301,0.40738702
4.481112,1.0159844,0.772262,0.30771896,0.37489006,0.20500816,0.22136676,6.9565115,1.9935539,6.972108,48.273148,59.653114,78.450806,1318.4744,27534.424,23.071918,113.58177,2021.2802,13.26537,2023.3007,17.100563,11.161467,29.878782,3.4243927,24.16684,2019.2788,6.3374205,18.55208,13.851603,18.743717,0.30674362
5.4929276,1.3525506,1.0587448,0.41366634,0.46691707,0.19970056,0.28524095,6.4599843,2.0240183,5.9038954,51.188995,42.22511,86.136925,2104.8308,39338.363,19.234274,64.4734,2021.2229,14.82375,2023.2301,17.785604,11.712101,30.579792,3.574052,20.63159,2019.2059,7.1343164,15.00454,26.828226,12.49087,0.19914632
4.8361125,1.0197821,0.8594061,0.31476292,0.3832225,0.206694,0.17966372,6.449873,2.0537944,6.1706715,46.39529,54.642876,77.43415,1113.8645,24432.742,23.117817,116.80479,2021.2853,12.983795,2023.362,13.29097,11.215502,30.894157,3.2060947,23.931274,2019.2856,6.65075,17.28879,13.799577,25.589243,0.351188
4.9986687,1.1577526,0.866371,0.36835095,0.40229,0.20799135,0.2698697,7.0912104,2.032876,6.8175354,52.083244,49.37927,82.14719,1954.2205,36149.527,20.98269,88.55822,2021.3892,13.984068,2023.3986,18.443481,11.569215,31.285635,3.9914844,22.55476,2019.3846,6.4925737,15.984631,18.461506,14.323045,0.39676744
5.6344986,1.4287959,1.1312764,0.43073475,0.49132174,0.18579036,0.2747688,6.226867,1.9830117,5.563361,48.54769,40.493134,87.415085,2015.6383,37373.355,18.933846,57.80575,2021.1509,15.133244,2023.1631,17.104433,11.774292,30.457193,3.3398974,20.58055,2019.1359,7.452261,14.877328,28.54266,14.4499855,0.12204231
6.2646847,1.4826058,1.1612585,0.47296637,0.5175107,0.2179034,0.34788677,6.263565,2.2179701,3.9281468,61.053608,27.510931,94.033936,2526.7957,45969.934,17.344202,46.138046,2021.1112,14.762587,2023.1471,16.616314,13.506498,25.190353,2.9279382,13.420651,2019.0865,7.9664526,13.668448,39.357803,-7.464742,0.15652816
4.835982,1.1428831,0.86640203,0.36059266,0.40113208,0.19566664,0.23631798,7.115147,1.968124,7.0632796,48.772057,53.58638,80.93958,1672.2174,31771.14,21.818377,94.68223,2021.3308,13.961777,2023.3453,18.280773,11.272786,31.695726,3.8092606,23.890802,2019.3229,6.4821186,16.534409,16.155386,17.702114,0.3186161
5.313618,1.2455494,0.90409714,0.3950069,0.43938756,0.21625152,0.2942821,6.92593,2.1172304,5.697617,54.80507,43.293312,85.73304,2061.9148,39238.695,19.943108,83.59646,2021.313,13.82806,2023.3519,17.216864,12.080403,29.491755,3.6122918,19.988243,2019.2991,6.8701873,15.562559,24.484652,10.21607,0.36217427
4.8250484,1.0316547,0.9001358,0.32342893,0.38844192,0.20674735,0.18657188,6.5203657,2.012238,6.1598434,44.942513,52.867096,78.542435,1212.2454,24672.236,22.964397,115.05363,2021.3064,13.020711,2023.3928,12.393708,11.108631,32.04862,3.2473228,24.136103,2019.316,6.568068,17.270395,14.484631,27.392828,0.38471726
5.1201205,1.2040136,0.8747153,0.37997705,0.42447752,0.21409272,0.2809406,7.017053,2.0705547,6.163842,53.162243,46.21285,84.060486,1997.3464,37653.39,20.420685,87.90774,2021.362,13.812294,2023.3864,17.468493,11.701766,30.655643,3.7793128,21.434788,2019.3535,6.6291676,15.914786,21.422277,13.198103,0.39026722
4.490848,1.0235204,0.7785408,0.31175694,0.37371403,0.20569614,0.22347848,6.9285893,2.0125265,6.9890327,48.640953,59.29715,78.53336,1337.2782,28244.668,22.921043,112.74675,2021.2921,13.307641,2023.3124,17.212454,11.291043,30.027817,3.4533358,24.16843,2019.2927,6.2931376,18.32782,14.120049,18.667522,0.31929496
4.8338156,1.0711755,0.9021281,0.3502465,0.40095374,0.20431073,0.23389894,7.112306,1.9253151,6.6399455,44.981144,48.365074,82.16657,1687.6458,29921.918,22.14696,101.4797,2021.4086,13.567206,2023.4454,14.367769,10.769701,34.21185,3.9051514,23.941454,2019.4174,6.1818013,16.921383,16.9671,22.98789,0.42610073
4.5476246,1.0354716,0.7844046,0.31771883,0.3752039,0.2059368,0.22891629,7.0683923,1.9952953,7.0945883,48.81768,58.27187,78.79244,1453.2474,29492.068,22.66157,109.492065,2021.3271,13.421408,2023.3417,17.587423,11.22591,30.58055,3.6027138,24.079203,2019.3232,6.279813,17.947678,14.161901,18.290062,0.34726802
4.6471915,1.0341061,0.80809486,0.32797313,0.37356314,0.20940389,0.21804798,6.821755,2.0781693,6.9328923,49.19229,57.335102,78.41688,1374.097,29874.514,22.401253,110.57157,2021.3431,13.430411,2023.3627,17.129366,11.374152,30.279915,3.6086648,23.751734,2019.3394,6.293307,17.232933,14.201015,19.968199,0.3708052
5.8851013,1.3762919,1.0705293,0.4382734,0.48057696,0.214424,0.32198253,6.5449224,2.1465921,4.8045764,57.91699,34.20835,90.51636,2342.4897,42804.273,18.496834,58.804794,2021.1803,14.506934,2023.2137,17.259434,12.799007,27.235855,3.295089,16.311049,2019.154,7.477792,14.443068,32.80785,0.016229661,0.22204193
