country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,Continent_x,Marriage,Divorce,Actual,Percent,rank,IQ,education_expenditure,avg_income,avg_temp,ISO3,Continent_y,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Year,Expected Years of Schooling,year,beef,pig,poultry,sheep,Unnamed: 0,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,LITRES/CAPITA,avg_temp_c,latitude,longitude,altitude
Iceland,Western Europe,7.53,1.926,1.62,0.559,0.738,0.25,0.187,Europe,4.9,1.8,2.72,36.73,19.0,99.0,3812.0,47106.0,8.1,ISL,Europe,Northern Hemisphere,Very High,,3.0,2021.0,19.16305923,,,,,,10.0,ISL,ALCOHOL,TOT,LT_CAP15,A,2019.0,7.4,5.68351233432884,64.04139515,-21.472884299999997,0.0
Netherlands,Western Europe,7.403,1.942,1.488,0.545,0.672,0.251,0.394,Europe,3.7,1.8,2.06,48.65,7.0,101.0,2386.0,45337.0,14.4,NLD,Europe,Northern Hemisphere,Very High,,10.0,2021.0,18.69316522,,,,,,17.0,NLD,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.2,11.234621676523362,52.004775125,5.258116999426606,0.0
Sweden,Western Europe,7.395,1.921,1.51,0.562,0.754,0.225,0.52,Europe,5.0,2.5,2.0,50.0,25.0,98.0,3419.0,49535.0,9.9,SWE,Europe,Northern Hemisphere,Very High,,7.0,2021.0,19.41852951,,,,,,24.0,SWE,ALCOHOL,TOT,LT_CAP15,A,2019.0,7.1,8.108048637179675,58.0972528125,15.3064039,0.0
Switzerland,Western Europe,7.24,2.022,1.463,0.582,0.678,0.151,0.475,Europe,4.8,2.0,2.4,41.67,14.0,100.0,3550.0,70399.0,15.2,CHE,Europe,Northern Hemisphere,Very High,,1.0,2021.0,16.50029945,2023.0,13.0787113777249,22.3434851084187,14.5382128091658,1.13074768854093,25.0,CHE,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.7,10.493491670233436,47.08862506363637,7.964927654545455,0.0
Luxembourg,Western Europe,7.228,2.2,1.357,0.549,0.71,0.149,0.418,Europe,2.9,2.3,1.26,79.31,11.0,100.0,3665.0,71296.0,14.7,LUX,Europe,Northern Hemisphere,Very High,,17.0,2021.0,14.39813995,,,,,,15.0,LUX,ALCOHOL,TOT,LT_CAP15,A,2019.0,11.0,10.421872973704968,49.7401833,6.14492695,0.0
Ireland,Western Europe,6.911,2.152,1.425,0.539,0.656,0.186,0.409,Europe,4.6,0.7,6.57,15.22,34.0,95.0,2500.0,43903.0,13.2,IRL,Europe,Northern Hemisphere,Very High,,8.0,2021.0,18.94522095,,,,,,11.0,IRL,ALCOHOL,TOT,LT_CAP15,A,2019.0,10.8,10.680518902818624,52.80929555,-7.983132,0.0
Germany,Western Europe,6.892,1.919,1.401,0.539,0.618,0.153,0.365,Europe,4.9,1.9,2.58,38.78,13.0,100.0,1883.0,39911.0,13.8,DEU,Europe,Northern Hemisphere,Very High,,9.0,2021.0,17.01013947,,,,,,7.0,DEU,ALCOHOL,TOT,LT_CAP15,A,2019.0,10.6,10.79305122715033,51.4431847,10.322773529616402,0.0
Belgium,Western Europe,6.859,1.907,1.449,0.528,0.59,0.137,0.273,Europe,3.9,2.1,1.86,53.85,23.0,98.0,2507.0,40526.0,14.8,BEL,Europe,Northern Hemisphere,Very High,,13.0,2021.0,19.60421944,,,,,,1.0,BEL,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.2,19.222634206548808,50.957360050000005,4.7205472,0.0
United Kingdom,Western Europe,6.796,1.857,1.366,0.511,0.626,0.272,0.34,Europe,4.4,1.8,2.44,40.91,17.0,99.0,2076.0,40698.0,12.9,GBR,Europe,Northern Hemisphere,Very High,,18.0,2021.0,17.30971909,2023.0,16.81201976357674,21.320932986159622,32.258149623378785,4.702000519398214,27.0,GBR,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.7,13.133714541004522,37.62238135714286,-10.008814599224644,0.0
France,Western Europe,6.661,1.856,1.433,0.566,0.582,0.083,0.27,Europe,3.7,1.9,1.95,51.35,28.0,97.0,2042.0,37610.0,16.8,FRA,Europe,Northern Hemisphere,Very High,,28.0,2021.0,15.81206989,,,,,,6.0,FRA,ALCOHOL,TOT,LT_CAP15,A,2019.0,11.4,15.21960362091384,37.72538333571429,-5.452746192743243,0.0
Spain,Western Europe,6.436,1.798,1.491,0.567,0.533,0.101,0.157,Europe,1.9,1.6,1.19,84.21,33.0,95.0,1176.0,26463.0,21.1,ESP,Europe,Northern Hemisphere,Very High,,27.0,2021.0,17.91690063,,,,,,23.0,ESP,ALCOHOL,TOT,LT_CAP15,A,2019.0,10.7,18.07335654073791,39.19810784814815,-3.95968150122778,0.0
Malta,Western Europe,6.3,1.841,1.468,0.547,0.671,0.2,0.143,Europe,5.8,0.7,8.29,12.07,,,,,,MLT,Europe,Northern Hemisphere,Very High,,23.0,2021.0,16.83856964,,,,,,,,,,,,,,19.52784090909091,35.8989818,14.5136759,0.0
Portugal,Western Europe,5.968,1.758,1.356,0.537,0.693,0.031,0.037,Europe,1.8,1.7,1.06,94.44,40.0,93.0,1005.0,19253.0,21.5,PRT,Europe,Northern Hemisphere,Very High,,38.0,2021.0,16.87122917,,,,,,21.0,PRT,ALCOHOL,TOT,LT_CAP15,A,2019.0,10.4,17.52328047967339,38.52127608333333,-12.275095110088843,0.0
Greece,Western Europe,5.931,1.708,1.247,0.535,0.248,0.008,0.097,Europe,4.7,1.8,2.61,38.3,43.0,91.0,781.0,21101.0,22.3,GRC,Europe,Northern Hemisphere,Very High,,33.0,2021.0,20.02878952,,,,,,8.0,GRC,ALCOHOL,TOT,LT_CAP15,A,2019.0,6.3,16.258174809608324,39.12434993,22.682692037783195,0.0
Israel,Middle East and North Africa,7.473,1.833,1.521,0.577,0.569,0.124,0.158,Asia,6.5,1.8,3.61,27.69,38.0,93.0,1811.0,29009.0,25.4,ISR,Asia,Northern Hemisphere,Very High,,22.0,2021.0,16.05088997,2023.0,20.3650531336039,1.28613333683136,66.9587857371893,1.69865219023672,35.0,ISR,ALCOHOL,TOT,LT_CAP15,A,2019.0,3.1,19.715490164287115,32.23935275,34.98264915000454,0.0
