,IQ,avg_temp_c,HDI Rank (2021),Expected Years of Schooling,avg_income,Marriage,Divorce,education_expenditure,Hemisphere_Northern Hemisphere,Hemisphere_Southern Hemisphere
0,101.0,5.269351658903474,11.0,19.05192947,42706.0,4.3,2.4,2725.0,1,0
1,98.0,9.97595665150132,6.0,18.71479988,53149.0,5.6,2.6,4133.0,1,0
2,99.0,5.68351233432884,3.0,19.16305923,47106.0,4.9,1.8,3812.0,1,0
3,93.0,19.715490164287115,22.0,16.05088997,29009.0,6.5,1.8,1811.0,1,0
4,93.0,19.715490164287115,22.0,16.05088997,29009.0,6.5,1.8,1811.0,1,0
5,93.0,19.715490164287115,22.0,16.05088997,29009.0,6.5,1.8,1811.0,1,0
6,93.0,19.715490164287115,22.0,16.05088997,29009.0,6.5,1.8,1811.0,1,0
7,93.0,19.715490164287115,22.0,16.05088997,29009.0,6.5,1.8,1811.0,1,0
8,93.0,19.715490164287115,22.0,16.05088997,29009.0,6.5,1.8,1811.0,1,0
9,93.0,19.715490164287115,22.0,16.05088997,29009.0,6.5,1.8,1811.0,1,0
10,93.0,19.715490164287115,22.0,16.05088997,29009.0,6.5,1.8,1811.0,1,0
11,101.0,11.234621676523362,10.0,18.69316522,45337.0,3.7,1.8,2386.0,1,0
12,98.0,8.108048637179675,7.0,19.41852951,49535.0,5.0,2.5,3419.0,1,0
13,98.0,5.653297165789233,2.0,18.18519974,75130.0,4.3,1.9,5436.0,1,0
14,98.0,5.653297165789233,2.0,18.18519974,75130.0,4.3,1.9,5436.0,1,0
15,98.0,5.653297165789233,2.0,18.18519974,75130.0,4.3,1.9,5436.0,1,0
16,98.0,5.653297165789233,2.0,18.18519974,75130.0,4.3,1.9,5436.0,1,0
17,98.0,5.653297165789233,2.0,18.18519974,75130.0,4.3,1.9,5436.0,1,0
18,98.0,5.653297165789233,2.0,18.18519974,75130.0,4.3,1.9,5436.0,1,0
19,98.0,5.653297165789233,2.0,18.18519974,75130.0,4.3,1.9,5436.0,1,0
20,98.0,5.653297165789233,2.0,18.18519974,75130.0,4.3,1.9,5436.0,1,0
21,100.0,10.493491670233436,1.0,16.50029945,70399.0,4.8,2.0,3550.0,1,0
22,100.0,10.493491670233436,1.0,16.50029945,70399.0,4.8,2.0,3550.0,1,0
23,100.0,10.493491670233436,1.0,16.50029945,70399.0,4.8,2.0,3550.0,1,0
24,100.0,10.493491670233436,1.0,16.50029945,70399.0,4.8,2.0,3550.0,1,0
25,100.0,10.493491670233436,1.0,16.50029945,70399.0,4.8,2.0,3550.0,1,0
26,100.0,10.493491670233436,1.0,16.50029945,70399.0,4.8,2.0,3550.0,1,0
27,100.0,10.493491670233436,1.0,16.50029945,70399.0,4.8,2.0,3550.0,1,0
28,100.0,10.493491670233436,1.0,16.50029945,70399.0,4.8,2.0,3550.0,1,0
29,100.0,10.421872973704968,17.0,14.39813995,71296.0,2.9,2.3,3665.0,1,0
30,99.0,13.62575760152399,13.0,20.28388977,30141.0,4.8,2.0,2083.0,0,1
31,99.0,13.62575760152399,13.0,20.28388977,30141.0,4.8,2.0,2083.0,0,1
32,99.0,13.62575760152399,13.0,20.28388977,30141.0,4.8,2.0,2083.0,0,1
33,99.0,13.62575760152399,13.0,20.28388977,30141.0,4.8,2.0,2083.0,0,1
34,99.0,13.62575760152399,13.0,20.28388977,30141.0,4.8,2.0,2083.0,0,1
35,99.0,13.62575760152399,13.0,20.28388977,30141.0,4.8,2.0,2083.0,0,1
